project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,0,2,1.0,false,76,2,0.0035460992907801444,0,PACKAGE,.,.,org.antlr.v4.test.runtime.go,go,4728,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,0,2,1.0,false,92,2,0.0035460992907801444,0,PACKAGE,.,.,org.antlr.v4.test.runtime.cpp,cpp,3705,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,7,10,0.74,false,449,5,0.012140262863328942,0,PACKAGE,.,.,org.antlr.v4.analysis,analysis,4773,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.6,false,PACKAGE,11,3,0.24444444444444444,false,252,17,0.05414470703140236,0,PACKAGE,.,.,org.antlr.v4.runtime.tree,tree,3751,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,0,2,1.0,false,36,2,0.0035460992907801444,0,PACKAGE,.,.,org.antlr.v4.test.runtime.csharp,csharp,1731,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.16666666666666666,false,PACKAGE,10,5,0.38235294117647056,false,79,6,0.017797070883234102,0,PACKAGE,.,.,org.antlr.v4.test.runtime.states,states,8912,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,0,1,1.0,false,16,2,0.0035460992907801444,0,PACKAGE,.,.,org.antlr.v4.test.runtime.php,php,8920,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,0,2,1.0,false,28,2,0.0035460992907801444,0,PACKAGE,.,.,org.antlr.v4.test.runtime.dart,dart,8928,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,0,20,1.0,false,9878,52,0.0035460992907801444,0,PACKAGE,.,.,org.antlr.v4.test.tool,tool,1769,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,0,2,1.0,false,82,2,0.0035460992907801444,0,PACKAGE,.,.,org.antlr.v4.test.runtime.swift,swift,8940,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.2,false,PACKAGE,11,7,0.10989010989010989,false,318,20,0.018386585535087,0,PACKAGE,.,.,org.antlr.v4.tool.ast,ast,6950,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.16666666666666666,false,PACKAGE,14,8,0.34545454545454546,false,1022,30,0.027181613619083687,0,PACKAGE,.,.,org.antlr.v4.test.runtime,runtime,6965,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.1111111111111111,false,PACKAGE,5,11,0.8607594936708861,false,997,9,0.010890021761085014,0,PACKAGE,.,.,org.antlr.v4.automata,automata,4947,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.1,false,PACKAGE,2,4,0.9166666666666666,false,280,10,0.009903329392602741,0,PACKAGE,.,.,org.antlr.v4.runtime.tree.xpath,xpath,3938,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.3076923076923077,false,PACKAGE,10,12,0.5309278350515464,false,1183,15,0.015018612676379193,0,PACKAGE,.,.,org.antlr.v4.codegen,codegen,3951,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,4,3,0.32142857142857145,false,143,4,0.08553418292186346,0,PACKAGE,.,.,org.antlr.v4.runtime.dfa,dfa,6125,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.14492753623188406,false,PACKAGE,18,3,0.25742574257425743,false,3266,69,0.1663655538909705,0,PACKAGE,.,.,org.antlr.v4.runtime.atn,atn,6133,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.21739130434782608,false,PACKAGE,25,2,0.04081632653061224,false,1120,23,0.16025429157296422,0,PACKAGE,.,.,org.antlr.v4.runtime.misc,misc,6141,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,1,5,0.0,false,85,0,8.331836635756384E-4,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/tool/src/org/antlr/v4/parse/TokenVocabParser.java,tool/src/org/antlr/v4/parse/TokenVocabParser.java,org.antlr.v4.parse.TokenVocabParser,TokenVocabParser,6,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,0,15,0.0,false,164,0,4.968051566365362E-4,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/tool-testsuite/test/org/antlr/v4/test/tool/TestParserProfiler.java,tool-testsuite/test/org/antlr/v4/test/tool/TestParserProfiler.java,org.antlr.v4.test.tool.TestParserProfiler,TestParserProfiler,3078,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,1,7,0.0,false,21,0,5.664485821042284E-4,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/tool/src/org/antlr/v4/codegen/model/SerializedJavaATN.java,tool/src/org/antlr/v4/codegen/model/SerializedJavaATN.java,org.antlr.v4.codegen.model.SerializedJavaATN,SerializedJavaATN,1031,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,2,20,0.0,false,68,0,8.34285474946135E-4,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/tool/src/org/antlr/v4/automata/ATNPrinter.java,tool/src/org/antlr/v4/automata/ATNPrinter.java,org.antlr.v4.automata.ATNPrinter,ATNPrinter,2058,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,38,10,0.0,false,74,0,0.00733314746558116,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/tool/src/org/antlr/v4/codegen/CodeGenerator.java,tool/src/org/antlr/v4/codegen/CodeGenerator.java,org.antlr.v4.codegen.CodeGenerator,CodeGenerator,12,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,1,6,0.0,false,18,0,5.40606867393991E-4,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/runtime/Java/src/org/antlr/v4/runtime/tree/xpath/XPathRuleElement.java,runtime/Java/src/org/antlr/v4/runtime/tree/xpath/XPathRuleElement.java,org.antlr.v4.runtime.tree.xpath.XPathRuleElement,XPathRuleElement,6156,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,2,5,0.0,false,11,0,6.352318605933909E-4,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/tool/src/org/antlr/v4/codegen/model/SerializedATN.java,tool/src/org/antlr/v4/codegen/model/SerializedATN.java,org.antlr.v4.codegen.model.SerializedATN,SerializedATN,1038,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,0,3,0.0,false,5,0,4.968051566365362E-4,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/runtime-testsuite/test/org/antlr/v4/test/runtime/swift/SwiftRuntimeTests.java,runtime-testsuite/test/org/antlr/v4/test/runtime/swift/SwiftRuntimeTests.java,org.antlr.v4.test.runtime.swift.SwiftRuntimeTests,SwiftRuntimeTests,9231,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,0,2,0.0,false,1,0,4.968051566365362E-4,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/tool/src/org/antlr/v4/codegen/LexerFactory.java,tool/src/org/antlr/v4/codegen/LexerFactory.java,org.antlr.v4.codegen.LexerFactory,LexerFactory,4114,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,ENUM,40,2,0.0,false,161,0,0.011009737280589196,0,ENUM,/workspaces/my_arcan/temp/antlr4/tool/src/org/antlr/v4/tool/ErrorType.java,tool/src/org/antlr/v4/tool/ErrorType.java,org.antlr.v4.tool.ErrorType,ErrorType,20,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,9,43,0.0,false,258,0,0.0014164521162056576,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/runtime/Java/src/org/antlr/v4/runtime/atn/ATNDeserializer.java,runtime/Java/src/org/antlr/v4/runtime/atn/ATNDeserializer.java,org.antlr.v4.runtime.atn.ATNDeserializer,ATNDeserializer,1046,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,1,5,0.0,false,77,0,6.375661959217457E-4,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/runtime-testsuite/test/org/antlr/v4/test/runtime/swift/SwiftRunner.java,runtime-testsuite/test/org/antlr/v4/test/runtime/swift/SwiftRunner.java,org.antlr.v4.test.runtime.swift.SwiftRunner,SwiftRunner,9238,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,0,1,0.0,false,36,0,4.968051566365362E-4,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/tool-testsuite/test/org/antlr/v4/test/tool/TestActionSplitter.java,tool-testsuite/test/org/antlr/v4/test/tool/TestActionSplitter.java,org.antlr.v4.test.tool.TestActionSplitter,TestActionSplitter,2071,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,ABSTRACT_CLASS,7,1,0.0,false,11,0,0.0012069028846850766,0,ABSTRACT_CLASS,/workspaces/my_arcan/temp/antlr4/runtime/Java/src/org/antlr/v4/runtime/tree/xpath/XPathElement.java,runtime/Java/src/org/antlr/v4/runtime/tree/xpath/XPathElement.java,org.antlr.v4.runtime.tree.xpath.XPathElement,XPathElement,6167,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,8,2,0.0,false,4,0,0.0016439280057205766,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/runtime/Java/src/org/antlr/v4/runtime/atn/BlockEndState.java,runtime/Java/src/org/antlr/v4/runtime/atn/BlockEndState.java,org.antlr.v4.runtime.atn.BlockEndState,BlockEndState,5146,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,77,8,0.0,false,101,0,0.026885990511373317,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/tool/src/org/antlr/v4/tool/ast/GrammarAST.java,tool/src/org/antlr/v4/tool/ast/GrammarAST.java,org.antlr.v4.tool.ast.GrammarAST,GrammarAST,28,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,3,1,0.0,false,9,0,0.0010239624051626756,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/tool/src/org/antlr/v4/semantics/BlankActionSplitterListener.java,tool/src/org/antlr/v4/semantics/BlankActionSplitterListener.java,org.antlr.v4.semantics.BlankActionSplitterListener,BlankActionSplitterListener,2077,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,51,12,0.0,false,55,0,0.01482971661938508,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/runtime/Java/src/org/antlr/v4/runtime/atn/ATN.java,runtime/Java/src/org/antlr/v4/runtime/atn/ATN.java,org.antlr.v4.runtime.atn.ATN,ATN,1055,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,ENUM,6,0,0.0,false,3,0,0.0018280209092775943,0,ENUM,/workspaces/my_arcan/temp/antlr4/runtime/Java/src/org/antlr/v4/runtime/atn/ATNType.java,runtime/Java/src/org/antlr/v4/runtime/atn/ATNType.java,org.antlr.v4.runtime.atn.ATNType,ATNType,3106,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,54,34,0.0,false,433,0,0.013159004054473364,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/tool/src/org/antlr/v4/Tool.java,tool/src/org/antlr/v4/Tool.java,org.antlr.v4.Tool,Tool,36,unit
